model_id,dataset,split,accuracy,f1_macro,f1_entailment,f1_neutral,f1_contradiction
Llama-3.1-8B-Instruct,snli_tr_1_1,test,0.408082,0.31606,0.606427,0.093424,0.248328
Llama-3.1-8B-Instruct,multinli_tr_1_1,validation_matched,0.504944,0.426416,0.608455,0.080912,0.589879
Llama-3.1-8B-Instruct,multinli_tr_1_1,validation_mismatched,0.510941,0.430614,0.608269,0.071151,0.612422
Llama-3.1-8B-Instruct,trglue_mnli,test_matched,0.702265,0.698127,0.711285,0.60414,0.778956
Llama-3.1-8B-Instruct,trglue_mnli,test_mismatched,0.738635,0.726026,0.747494,0.567197,0.863386
Mistral-Nemo-Instruct-2407,snli_tr_1_1,test,0.442895,0.348728,0.694104,0.333113,0.018966
Mistral-Nemo-Instruct-2407,multinli_tr_1_1,validation_matched,0.473851,0.410912,0.674172,0.333778,0.224787
Mistral-Nemo-Instruct-2407,multinli_tr_1_1,validation_mismatched,0.478372,0.41732,0.681304,0.324162,0.246494
Mistral-Nemo-Instruct-2407,trglue_mnli,test_matched,0.672957,0.646206,0.769789,0.666566,0.502265
Mistral-Nemo-Instruct-2407,trglue_mnli,test_mismatched,0.717153,0.703366,0.810739,0.664039,0.63532
Qwen2-1.5B-Instruct,snli_tr_1_1,test,0.469768,0.389681,0.684287,0.451092,0.033664
Qwen2-1.5B-Instruct,multinli_tr_1_1,validation_matched,0.493322,0.458933,0.658572,0.457783,0.260445
Qwen2-1.5B-Instruct,multinli_tr_1_1,validation_mismatched,0.493944,0.458807,0.670625,0.43787,0.267926
Qwen2-1.5B-Instruct,trglue_mnli,test_matched,0.634769,0.614339,0.730809,0.638513,0.473697
Qwen2-1.5B-Instruct,trglue_mnli,test_mismatched,0.661929,0.645405,0.780557,0.624458,0.531201
Qwen2-7B-Instruct,snli_tr_1_1,test,0.741144,0.740292,0.797005,0.663909,0.759961
Qwen2-7B-Instruct,multinli_tr_1_1,validation_matched,0.713732,0.708581,0.75086,0.612588,0.762296
Qwen2-7B-Instruct,multinli_tr_1_1,validation_mismatched,0.721425,0.715024,0.757411,0.611481,0.776181
Qwen2-7B-Instruct,trglue_mnli,test_matched,0.818717,0.818052,0.825973,0.801596,0.826587
Qwen2-7B-Instruct,trglue_mnli,test_mismatched,0.879028,0.877804,0.892643,0.85111,0.889661
TabiBERT,snli_tr_1_1,test,0.333164,0.254605,0.041827,0.461066,0.260922
TabiBERT,multinli_tr_1_1,validation_matched,0.318993,0.211219,0.102046,0.470126,0.061486
TabiBERT,multinli_tr_1_1,validation_mismatched,0.319898,0.203039,0.074244,0.473335,0.061538
TabiBERT,trglue_mnli,test_matched,0.344028,0.193903,0.037979,0.506798,0.036931
TabiBERT,trglue_mnli,test_mismatched,0.325811,0.190379,0.047747,0.48433,0.03906
Trendyol-LLM-7b-chat-v1.0,snli_tr_1_1,test,0.327667,0.164533,0.0,0.493598,0.0
Trendyol-LLM-7b-chat-v1.0,multinli_tr_1_1,validation_matched,0.318381,0.160996,0.0,0.482988,0.0
Trendyol-LLM-7b-chat-v1.0,multinli_tr_1_1,validation_mismatched,0.318473,0.161031,0.0,0.483094,0.0
Trendyol-LLM-7b-chat-v1.0,trglue_mnli,test_matched,0.348357,0.172238,0.0,0.516713,0.0
Trendyol-LLM-7b-chat-v1.0,trglue_mnli,test_mismatched,0.330151,0.16547,0.0,0.496411,0.0
Turkish-Gemma-9b-T1,snli_tr_1_1,test,0.327667,0.164533,0.0,0.493598,0.0
Turkish-Gemma-9b-T1,multinli_tr_1_1,validation_matched,0.318381,0.160996,0.0,0.482988,0.0
Turkish-Gemma-9b-T1,multinli_tr_1_1,validation_mismatched,0.318473,0.161031,0.0,0.483094,0.0
Turkish-Gemma-9b-T1,trglue_mnli,test_matched,0.348357,0.172238,0.0,0.516713,0.0
Turkish-Gemma-9b-T1,trglue_mnli,test_mismatched,0.330151,0.16547,0.0,0.496411,0.0
aya-23-8B,snli_tr_1_1,test,0.622557,0.564376,0.67517,0.228778,0.789178
aya-23-8B,multinli_tr_1_1,validation_matched,0.529922,0.439787,0.617549,0.05764,0.644173
aya-23-8B,multinli_tr_1_1,validation_mismatched,0.527532,0.435044,0.616926,0.050318,0.637886
aya-23-8B,trglue_mnli,test_matched,0.569383,0.514102,0.670208,0.256255,0.615842
aya-23-8B,trglue_mnli,test_mismatched,0.615602,0.564469,0.692567,0.31349,0.687351
bert-base-turkish-cased,snli_tr_1_1,test,0.334691,0.328801,0.377103,0.353186,0.256115
bert-base-turkish-cased,multinli_tr_1_1,validation_matched,0.321745,0.310968,0.218941,0.344637,0.369327
bert-base-turkish-cased,multinli_tr_1_1,validation_mismatched,0.312875,0.2933,0.170624,0.320144,0.389131
bert-base-turkish-cased,trglue_mnli,test_matched,0.33226,0.314136,0.179872,0.360549,0.401985
bert-base-turkish-cased,trglue_mnli,test_mismatched,0.332755,0.300964,0.129187,0.346016,0.42769
bert-base-turkish-cased-allnli_tr,snli_tr_1_1,test,0.8731,0.8725,0.89,0.84,0.89
bert-base-turkish-cased-allnli_tr,multinli_tr_1_1,validation_matched,0.7983,0.7979,0.82,0.76,0.82
bert-base-turkish-cased-allnli_tr,multinli_tr_1_1,validation_mismatched,0.8059,0.8051,0.82,0.76,0.83
bert-base-turkish-cased-allnli_tr,trglue_mnli,test_matched,0.7501,0.7434,0.83,0.65,0.74
bert-base-turkish-cased-allnli_tr,trglue_mnli,test_mismatched,0.8134,0.8068,0.89,0.72,0.81
convbert-base-turkish-cased,snli_tr_1_1,test,0.327769,0.167571,0.0,0.492961,0.009753
convbert-base-turkish-cased,multinli_tr_1_1,validation_matched,0.318585,0.167836,0.000575,0.481147,0.021785
convbert-base-turkish-cased,multinli_tr_1_1,validation_mismatched,0.318677,0.166568,0.000579,0.481634,0.017491
convbert-base-turkish-cased,trglue_mnli,test_matched,0.348468,0.173186,0.0,0.516858,0.002702
convbert-base-turkish-cased,trglue_mnli,test_mismatched,0.330151,0.165902,0.0,0.496409,0.001298
distilbert-base-turkish-cased-multinli_tr,snli_tr_1_1,test,0.345582,0.203865,0.505997,0.023473,0.082124
distilbert-base-turkish-cased-multinli_tr,multinli_tr_1_1,validation_matched,0.355082,0.190526,0.520726,0.011984,0.038869
distilbert-base-turkish-cased-multinli_tr,multinli_tr_1_1,validation_mismatched,0.352468,0.191574,0.517557,0.02665,0.030516
distilbert-base-turkish-cased-multinli_tr,trglue_mnli,test_matched,0.325266,0.172106,0.488411,0.010749,0.017156
distilbert-base-turkish-cased-multinli_tr,trglue_mnli,test_mismatched,0.338396,0.180049,0.50164,0.021325,0.017181
gemma-2-2b-it,snli_tr_1_1,test,0.544279,0.534798,0.692401,0.449344,0.46265
gemma-2-2b-it,multinli_tr_1_1,validation_matched,0.60526,0.589901,0.668779,0.427842,0.673083
gemma-2-2b-it,multinli_tr_1_1,validation_mismatched,0.62687,0.609141,0.684712,0.435982,0.70673
gemma-2-2b-it,trglue_mnli,test_matched,0.791963,0.791804,0.787986,0.77786,0.809564
gemma-2-2b-it,trglue_mnli,test_mismatched,0.846479,0.844935,0.843632,0.807513,0.883661
gemma-3-27b-it,snli_tr_1_1,test,0.742875,0.740329,0.823216,0.650766,0.747006
gemma-3-27b-it,multinli_tr_1_1,validation_matched,0.740137,0.731952,0.776491,0.593631,0.825735
gemma-3-27b-it,multinli_tr_1_1,validation_mismatched,0.739644,0.729471,0.778899,0.581987,0.827528
gemma-3-27b-it,trglue_mnli,test_matched,0.813832,0.812177,0.816695,0.763894,0.855941
gemma-3-27b-it,trglue_mnli,test_mismatched,0.87165,0.868343,0.874911,0.810034,0.920084
gemma-3-4b-it,snli_tr_1_1,test,0.551812,0.526451,0.710345,0.381341,0.487666
gemma-3-4b-it,multinli_tr_1_1,validation_matched,0.610664,0.575166,0.67669,0.343508,0.705299
gemma-3-4b-it,multinli_tr_1_1,validation_mismatched,0.619237,0.579733,0.682994,0.328037,0.728167
gemma-3-4b-it,trglue_mnli,test_matched,0.763321,0.761443,0.766308,0.716496,0.801524
gemma-3-4b-it,trglue_mnli,test_mismatched,0.815124,0.809867,0.816028,0.733374,0.880199
mDeBERTa-v3-base-mnli-xnli,snli_tr_1_1,test,0.733306,0.729216,0.785845,0.680051,0.721751
mDeBERTa-v3-base-mnli-xnli,multinli_tr_1_1,validation_matched,0.789275,0.787782,0.809008,0.744943,0.809396
mDeBERTa-v3-base-mnli-xnli,multinli_tr_1_1,validation_mismatched,0.797863,0.795834,0.821311,0.744734,0.821457
mDeBERTa-v3-base-mnli-xnli,trglue_mnli,test_matched,0.796514,0.793514,0.82574,0.751181,0.803622
mDeBERTa-v3-base-mnli-xnli,trglue_mnli,test_mismatched,0.842465,0.838727,0.875297,0.786737,0.854147
